density_var,var,exp,center,model,member,size_mb,finite_frac,status
sigma_1,thetao,abrupt-4xCO2,CAMS,CAMS-CSM1-0,r2i1p1f1,1354.1,0.3908,ok
sigma_1,thetao,abrupt-4xCO2,CAS,FGOALS-f3-L,r1i1p1f1,1461.4,0.3672,ok
sigma_1,thetao,abrupt-4xCO2,CAS,FGOALS-f3-L,r2i1p1f1,1457.9,0.366,ok
sigma_1,thetao,abrupt-4xCO2,CAS,FGOALS-f3-L,r3i1p1f1,1452.9,0.3656,ok
sigma_1,thetao,abrupt-4xCO2,CCCma,CanESM5,r1i1p1f1,1378.7,0.3987,ok
sigma_1,thetao,abrupt-4xCO2,CCCma,CanESM5,r1i1p2f1,1379.4,0.4011,ok
sigma_1,thetao,abrupt-4xCO2,CMCC,CMCC-CM2-SR5,r1i1p1f1,1511.3,0.3957,ok
sigma_1,thetao,abrupt-4xCO2,CMCC,CMCC-ESM2,r1i1p1f1,1506.0,0.3952,ok
sigma_1,thetao,abrupt-4xCO2,CNRM-CERFACS,CNRM-CM6-1,r1i1p1f2,1360.3,0.4097,ok
sigma_1,thetao,abrupt-4xCO2,CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,1362.8,0.4068,ok
sigma_1,thetao,abrupt-4xCO2,CNRM-CERFACS,CNRM-ESM2-1,r3i1p1f2,1354.5,0.4028,ok
sigma_1,thetao,abrupt-4xCO2,CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,1388.4,0.3912,ok
sigma_1,thetao,abrupt-4xCO2,CSIRO,ACCESS-ESM1-5,r1i1p1f1,1405.6,0.3903,ok
sigma_1,thetao,abrupt-4xCO2,CSIRO,ACCESS-ESM1-5,r2i1p1f1,8133.2,0.3496,ok
sigma_1,thetao,abrupt-4xCO2,EC-Earth-Consortium,EC-Earth3-AerChem,r1i1p1f1,1357.7,0.4024,ok
sigma_1,thetao,abrupt-4xCO2,EC-Earth-Consortium,EC-Earth3,r3i1p1f1,1450.9,0.4055,ok
sigma_1,thetao,abrupt-4xCO2,EC-Earth-Consortium,EC-Earth3,r8i1p1f1,1469.5,0.3953,ok
sigma_1,thetao,abrupt-4xCO2,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,r1i1p1f1,1346.4,0.3829,ok
sigma_1,thetao,abrupt-4xCO2,INM,INM-CM4-8,r1i1p1f1,1555.6,0.4398,ok
sigma_1,thetao,abrupt-4xCO2,IPSL,IPSL-CM5A2-INCA,r1i1p1f1,1325.6,0.3867,ok
